pred, behavior, true_positive, false_positive, false_negative, true_negative
heavy,look,81,210,730,1379
medium,look,72,222,734,1372
light,look,78,184,705,1433
blue,look,590,24,225,1561
green,look,424,168,377,1431
brown,look,496,115,288,1501
glass,look,52,167,548,1633
screws,look,133,63,455,1749
beans,look,20,97,589,1694
rice,look,48,147,555,1650
heavy,grasp,52,121,759,1468
medium,grasp,41,118,765,1476
light,grasp,62,130,721,1487
blue,grasp,35,94,780,1491
green,grasp,49,121,752,1478
brown,grasp,27,104,757,1512
glass,grasp,140,97,460,1703
screws,grasp,35,97,553,1715
beans,grasp,33,67,576,1724
rice,grasp,48,106,555,1691
heavy,lift_slow,463,35,348,1554
medium,lift_slow,463,244,343,1350
light,lift_slow,588,40,195,1577
blue,lift_slow,53,146,762,1439
green,lift_slow,79,187,722,1412
brown,lift_slow,87,198,697,1418
glass,lift_slow,44,173,556,1627
screws,lift_slow,51,178,537,1634
beans,lift_slow,22,101,587,1690
rice,lift_slow,36,151,567,1646
heavy,hold,446,73,365,1516
medium,hold,454,267,352,1327
light,hold,613,0,170,1617
blue,hold,62,175,753,1410
green,hold,69,187,732,1412
brown,hold,64,157,720,1459
glass,hold,44,145,556,1655
screws,hold,32,140,556,1672
beans,hold,15,75,594,1716
rice,hold,24,115,579,1682
heavy,shake,515,49,296,1540
medium,shake,365,201,441,1393
light,shake,472,63,311,1554
blue,shake,66,184,749,1401
green,shake,67,206,734,1393
brown,shake,56,208,728,1408
glass,shake,199,196,401,1604
screws,shake,138,223,450,1589
beans,shake,112,146,497,1645
rice,shake,195,168,408,1629
heavy,high_velocity_shake,492,41,319,1548
medium,high_velocity_shake,344,237,462,1357
light,high_velocity_shake,390,137,393,1480
blue,high_velocity_shake,72,221,743,1364
green,high_velocity_shake,60,177,741,1422
brown,high_velocity_shake,77,235,707,1381
glass,high_velocity_shake,297,126,303,1674
screws,high_velocity_shake,177,218,411,1594
beans,high_velocity_shake,182,183,427,1608
rice,high_velocity_shake,227,172,376,1625
heavy,low_drop,395,150,416,1439
medium,low_drop,214,251,592,1343
light,low_drop,342,101,441,1516
blue,low_drop,72,190,743,1395
green,low_drop,80,200,721,1399
brown,low_drop,65,220,719,1396
glass,low_drop,186,117,414,1683
screws,low_drop,151,188,437,1624
beans,low_drop,70,139,539,1652
rice,low_drop,152,186,451,1611
heavy,tap,274,142,537,1447
medium,tap,114,201,692,1393
light,tap,235,49,548,1568
blue,tap,61,143,754,1442
green,tap,72,166,729,1433
brown,tap,42,101,742,1515
glass,tap,70,135,530,1665
screws,tap,29,66,559,1746
beans,tap,23,79,586,1712
rice,tap,45,109,558,1688
heavy,poke,240,162,571,1427
medium,poke,82,178,724,1416
light,poke,240,55,543,1562
blue,poke,34,85,781,1500
green,poke,60,160,741,1439
brown,poke,63,145,721,1471
glass,poke,137,132,463,1668
screws,poke,41,98,547,1714
beans,poke,53,84,556,1707
rice,poke,67,118,536,1679
heavy,push,239,187,572,1402
medium,push,81,153,725,1441
light,push,252,43,531,1574
blue,push,44,104,771,1481
green,push,59,146,742,1453
brown,push,52,115,732,1501
glass,push,36,162,564,1638
screws,push,19,79,569,1733
beans,push,18,84,591,1707
rice,push,27,106,576,1691
heavy,crush,95,166,716,1423
medium,crush,58,154,748,1440
light,crush,106,76,677,1541
blue,crush,32,72,783,1513
green,crush,56,137,745,1462
brown,crush,39,89,745,1527
glass,crush,28,74,572,1726
screws,crush,19,58,569,1754
beans,crush,11,35,598,1756
rice,crush,3,30,600,1767
